ダウンロードした時刻：2020/05/05 08:08:38

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019/10/18,21.3,8,1,23.9,8,1,19.0,8,1,16.8,8,1,18.6,8,1,14.3,8,1
2019/10/19,22.0,8,1,24.6,8,1,19.0,8,1,18.7,8,1,20.8,8,1,17.6,8,1
2019/10/20,21.2,8,1,24.5,8,1,18.5,8,1,17.6,8,1,21.1,8,1,14.7,8,1
2019/10/21,19.6,8,1,22.1,8,1,17.2,8,1,15.7,8,1,17.7,8,1,13.9,8,1
2019/10/22,20.7,8,1,25.2,8,1,17.4,8,1,19.0,8,1,22.9,8,1,16.2,8,1
2019/10/23,20.8,8,1,23.6,8,1,17.2,8,1,18.1,8,1,22.9,8,1,15.6,8,1
2019/10/24,19.6,8,1,21.6,8,1,17.1,8,1,16.8,8,1,18.1,8,1,15.9,8,1
2019/10/25,18.5,8,1,20.1,8,1,16.5,8,1,16.6,8,1,18.3,8,1,15.5,8,1
2019/10/26,19.4,8,1,23.0,8,1,17.1,8,1,17.4,8,1,22.3,8,1,15.6,8,1
2019/10/27,19.5,8,1,23.3,8,1,17.1,8,1,15.9,8,1,20.5,8,1,12.8,8,1
2019/10/28,18.5,8,1,22.2,8,1,14.7,8,1,15.1,8,1,22.4,8,1,11.3,8,1
2019/10/29,16.6,8,1,18.6,8,1,14.9,8,1,14.8,8,1,19.5,8,1,12.0,8,1
2019/10/30,17.3,8,1,22.0,8,1,13.9,8,1,15.5,8,1,21.8,8,1,12.0,8,1
2019/10/31,17.8,8,1,21.9,8,1,14.8,8,1,15.3,8,1,22.2,8,1,11.4,8,1
2019/11/1,17.9,8,1,21.6,8,1,14.2,8,1,15.0,8,1,22.7,8,1,9.9,8,1
2019/11/2,16.4,8,1,19.5,8,1,12.8,8,1,12.9,8,1,19.5,8,1,8.4,8,1
2019/11/3,17.1,8,1,19.9,8,1,13.8,8,1,12.6,8,1,16.5,8,1,8.0,8,1
2019/11/4,15.7,8,1,18.4,8,1,12.1,8,1,13.6,8,1,17.2,8,1,8.8,8,1
2019/11/5,14.8,8,1,19.4,8,1,10.9,8,1,11.0,8,1,17.6,8,1,6.8,8,1
2019/11/6,14.6,8,1,18.8,8,1,10.3,8,1,11.0,8,1,20.2,8,1,5.5,8,1
2019/11/7,15.9,8,1,19.7,8,1,11.7,8,1,12.9,8,1,22.9,8,1,6.4,8,1
2019/11/8,15.2,8,1,18.8,8,1,12.1,8,1,12.2,8,1,16.9,8,1,6.9,8,1
2019/11/9,15.2,8,1,20.0,8,1,10.6,8,1,11.0,8,1,19.7,8,1,4.3,8,1
2019/11/10,15.5,8,1,18.7,8,1,12.7,8,1,11.9,8,1,17.0,8,1,8.7,8,1
2019/11/11,16.3,8,1,20.0,8,1,13.0,8,1,13.7,8,1,21.2,8,1,6.9,8,1
2019/11/12,17.0,8,1,20.7,8,1,14.3,8,1,13.2,8,1,18.9,8,1,8.7,8,1
2019/11/13,17.1,8,1,20.9,8,1,11.8,8,1,13.6,8,1,21.8,8,1,6.3,8,1
2019/11/14,14.9,8,1,19.4,8,1,9.8,8,1,11.6,8,1,17.9,8,1,7.5,8,1
2019/11/15,11.8,8,1,14.9,8,1,8.1,8,1,9.5,8,1,15.7,8,1,5.3,8,1
2019/11/16,14.3,8,1,18.1,8,1,9.1,8,1,10.1,8,1,19.3,8,1,4.2,8,1
2019/11/17,15.4,8,1,19.3,8,1,12.0,8,1,11.8,8,1,18.1,8,1,8.8,8,1
2019/11/18,18.2,8,1,22.1,8,1,13.8,8,1,17.0,8,1,22.2,8,1,8.9,8,1
2019/11/19,13.7,8,1,18.2,8,1,9.6,8,1,11.2,8,1,15.5,8,1,7.6,8,1
2019/11/20,10.5,8,1,14.3,8,1,7.7,8,1,8.3,8,1,10.2,8,1,7.3,8,1
2019/11/21,11.3,8,1,15.9,8,1,7.6,8,1,8.6,8,1,12.2,8,1,5.4,8,1
2019/11/22,14.1,8,1,17.1,8,1,9.7,8,1,7.5,8,1,10.9,8,1,4.4,8,1
2019/11/23,16.8,8,1,20.4,8,1,13.5,8,1,11.1,8,1,20.0,8,1,7.0,8,1
2019/11/24,16.4,8,1,18.4,8,1,13.4,8,1,10.7,8,1,16.2,8,1,7.0,8,1
2019/11/25,15.8,8,1,18.6,8,1,12.5,8,1,11.1,5,1,14.2,8,1,9.8,8,1
2019/11/26,13.3,8,1,16.0,8,1,10.8,8,1,10.3,8,1,13.4,8,1,7.3,8,1
2019/11/27,14.2,8,1,16.1,8,1,12.1,8,1,10.4,8,1,15.1,8,1,6.1,8,1
2019/11/28,10.5,8,1,13.8,8,1,6.3,8,1,8.9,8,1,11.7,8,1,7.0,8,1
2019/11/29,8.3,8,1,11.9,8,1,4.7,8,1,6.2,8,1,11.2,8,1,1.2,8,1
2019/11/30,9.1,8,1,12.7,8,1,6.9,8,1,6.3,8,1,11.4,8,1,1.3,8,1
2019/12/1,11.6,8,1,16.4,8,1,5.9,8,1,8.9,8,1,17.1,8,1,-0.2,8,1
2019/12/2,13.7,8,1,17.0,8,1,9.6,8,1,12.4,8,1,16.0,8,1,7.6,8,1
2019/12/3,9.2,8,1,11.9,8,1,7.0,8,1,6.7,8,1,8.9,8,1,5.1,8,1
2019/12/4,9.3,8,1,13.3,8,1,6.3,8,1,6.0,8,1,9.0,8,1,3.9,8,1
2019/12/5,9.0,8,1,12.5,8,1,6.4,8,1,5.8,8,1,7.9,8,1,4.8,8,1
2019/12/6,7.4,8,1,10.2,8,1,6.0,8,1,3.0,8,1,5.0,8,1,1.3,8,1
2019/12/7,7.7,8,1,9.7,8,1,6.1,8,1,4.8,8,1,8.6,8,1,2.4,8,1
2019/12/8,9.5,8,1,13.0,8,1,6.6,8,1,7.0,8,1,10.1,8,1,4.5,8,1
2019/12/9,9.5,8,1,14.7,8,1,5.4,8,1,7.4,8,1,14.6,8,1,3.4,8,1
2019/12/10,10.4,8,1,14.0,8,1,6.0,8,1,6.6,8,1,15.9,8,1,0.7,8,1
2019/12/11,10.8,8,1,13.2,8,1,7.1,8,1,6.2,8,1,11.4,8,1,3.1,8,1
2019/12/12,10.6,8,1,14.5,8,1,7.7,8,1,6.5,8,1,9.9,8,1,3.9,8,1
2019/12/13,8.5,8,1,11.5,8,1,5.5,8,1,6.4,8,1,11.7,8,1,3.2,8,1
2019/12/14,9.9,8,1,14.7,8,1,6.0,8,1,5.7,8,1,11.6,8,1,-0.3,8,1
2019/12/15,9.2,8,1,12.2,8,1,6.9,8,1,7.5,8,1,9.4,8,1,3.1,8,1
2019/12/16,9.5,8,1,13.2,8,1,4.8,8,1,5.1,8,1,14.3,8,1,-0.4,8,1
2019/12/17,13.0,8,1,14.4,8,1,11.2,8,1,10.8,8,1,16.2,8,1,5.4,8,1
2019/12/18,12.8,8,1,15.8,8,1,8.6,8,1,10.1,8,1,12.9,8,1,6.3,8,1
2019/12/19,9.9,8,1,11.2,8,1,7.3,8,1,8.0,8,1,10.2,8,1,5.9,8,1
2019/12/20,10.5,8,1,13.1,8,1,8.4,8,1,7.8,8,1,10.1,8,1,6.2,8,1
2019/12/21,9.4,8,1,11.7,8,1,7.1,8,1,6.8,8,1,12.1,8,1,2.4,8,1
2019/12/22,8.2,8,1,10.8,8,1,6.4,8,1,5.1,8,1,7.3,8,1,2.5,8,1
2019/12/23,9.9,8,1,13.8,8,1,5.6,8,1,6.9,5,1,14.2,8,1,3.2,8,1
2019/12/24,9.8,8,1,12.9,8,1,7.4,8,1,6.7,8,1,9.1,8,1,4.4,8,1
2019/12/25,10.1,5,1,14.0,8,1,5.5,8,1,7.1,8,1,15.4,8,1,1.7,8,1
2019/12/26,10.9,8,1,11.9,8,1,9.4,8,1,8.4,8,1,10.9,8,1,6.4,8,1
2019/12/27,9.0,8,1,12.5,8,1,5.3,8,1,7.5,8,1,10.5,8,1,4.1,8,1
2019/12/28,7.6,8,1,10.4,8,1,4.4,8,1,5.6,8,1,8.9,8,1,3.3,8,1
2019/12/29,8.9,8,1,11.6,8,1,4.8,8,1,7.0,8,1,12.6,8,1,2.9,8,1
2019/12/30,10.8,8,1,12.7,8,1,8.8,8,1,10.9,8,1,16.7,8,1,7.0,8,1
2019/12/31,9.6,8,1,14.3,8,1,4.7,8,1,6.9,8,1,10.2,8,1,3.7,8,1
2020/1/1,6.5,8,1,9.5,8,1,3.2,8,1,5.3,8,1,8.7,8,1,3.2,8,1
